"Team_Id","Team_Name","Club_ID","Short_Name","Sex"
98,"Royston 3",27,"Royston 3","Men"
99,"Royston 4",27,"Royston 4","Men"
100,"Rutland",28,"Rutland","Men"
101,"Rutland 1",28,"Rutland 1","Men"
102,"Rutland 2",28,"Rutland 2","Men"
103,"Rutland 3",28,"Rutland 3","Men"
104,"Rutland 4",28,"Rutland 4","Men"
105,"Rutland 5",28,"Rutland 5","Men"
106,"Saffron Walden",29,"Saffron Walden","Men"
107,"Saffron Walden 2",29,"Walden 2","Men"
108,"Saffron Walden 3",29,"Walden 3","Men"
109,"Saffron Walden 4",29,"Walden 4","Men"
110,"Saffron Walden 5",29,"Saffron Walden 5","Men"
111,"Saffron Walden 6",29,"Walden 6","Men"
112,"Sawtry 1",30,"Sawtry 1","Men"
113,"Shefford & Sandy 3",39,"Shefford & Sandy 3","Men"
114,"Spalding 1",31,"Spalding 1","Men"
115,"Spalding 2",31,"Spalding 2","Men"
116,"Spalding 3",31,"Spalding 3","Men"
117,"Spalding 4",31,"Spalding 4","Men"
118,"Spalding 5",31,"Spalding 5","Men"
119,"St Ives 1",32,"St Ives 1","Men"
120,"St Ives 2",32,"St Ives 2","Men"
121,"St Ives 3",32,"St Ives 3","Men"
122,"St Ives 4",32,"St Ives 4","Men"
123,"St Ives 5",32,"St Ives 5","Men"
124,"St Neots 2",33,"St Neots 2","Men"
125,"St Neots 3",33,"St Neots 3","Men"
127,"St Neots 4",33,"St Neots 4","Men"
128,"St Neots 5",33,"St Neots 5","Men"
130,"Stevenage 4",34,"Stevenage 4","Men"
131,"Tring 1",35,"Tring 1","Men"
132,"Wild Oats",43,"Wild Oats","Men"
133,"Wisbech Town 2",36,"Wisbech 2","Men"
134,"Wisbech Town 3",36,"Wisbech 3","Men"
135,"Wisbech Town 4",36,"Wisbech 4","Men"
136,"Wisbech Town 5",36,"Wisbech 5","Men"
140,"St Neots 1",33,"St Neots 1","Men"
141,"Alford & District 1",1,"Alford & District 1","Men"
143,"Tournament",0,"Tournament","Men"
144,"Cambridge South 3",57,"Cambridge South 3","Men"
145,"Cambridge South 2",57,"South 2","Men"
146,"Wisbech Town Ladies 2",36,"Wisbech 2","Ladies"
147,"Spalding Ladies 1",31,"Spalding 1","Ladies"
148,"Cambridge City  Ladies 2",7,"Cambs City 2","Ladies"
149,"Cambridge City Ladies 3",7,"Cam City 3","Ladies"
150,"Cambridge University Ladies 3",10,"Univ 3","Ladies"
151,"Huntingdon Ladies 1",14,"Huntingdon 1","Ladies"
152,"Wisbech 2",36,"Wisbech 2","Ladies"
153,"Sawtry Ladies",30,"Sawtry","Ladies"
154,"Market Deeping Ladies 1",19,"Market Deeping 1","Ladies"
155,"St Ives Ladies 2",32,"St Ives 2","Ladies"
156,"TBA",44,"TBA","Ladies"
157,"Rutland Ladies 1",28,"Rutland 1","Ladies"
158,"Ely City Ladies 2",11,"Ely City 2","Ladies"
159,"St Ives Ladies 3",32,"St Ives 3","Ladies"
160,"Market Deeping Ladies 2",19,"Market Deeping 2","Ladies"
161,"Cambridge City Ladies 4",7,"City 4","Ladies"
163,"Newmarket Ladies 2",21,"Newmarket 2","Ladies"
